time,open,high,low,close,real_volume,tick_volume
,,,,,,
2023.04.01 05:15,6000.81,6010.53,5997.18,6005.29,0,246
,,,,,,
2023.04.01 05:10,6014.7,6018.04,5993.8,6001.87,0,299
,,,,,,
2023.04.01 05:05,6027.8,6037.93,6009.9,6013.57,0,299
,,,,,,
2023.04.01 05:00,6033.25,6036.77,6023.57,6026.81,0,299
,,,,,,
2023.04.01 04:55,6041.03,6043.09,6025.13,6033.17,0,299
,,,,,,
2023.04.01 04:50,6048.31,6054.18,6040.26,6040.63,0,299
,,,,,,
2023.04.01 04:45,6072.82,6075.01,6048.16,6048.16,0,299
,,,,,,
2023.04.01 04:40,6078.62,6087.8,6070.51,6071.96,0,300
,,,,,,
2023.04.01 04:35,6087.63,6095.77,6078.34,6078.34,0,298
,,,,,,
2023.04.01 04:30,6067.47,6087.95,6066.21,6086.96,0,298
,,,,,,
2023.04.01 04:25,6067.51,6081.81,6062.86,6067.13,0,299
,,,,,,
2023.04.01 04:20,6074.05,6078.39,6063.19,6066.95,0,300
,,,,,,
2023.04.01 04:15,6066.65,6074.77,6055.64,6074.77,0,298
,,,,,,
2023.04.01 04:10,6064.62,6077.49,6057.88,6065.76,0,298
,,,,,,
2023.04.01 04:05,6058.35,6064.8,6046.57,6064.44,0,299
,,,,,,
2023.04.01 04:00,6048.79,6061.79,6041.1,6058.84,0,299
,,,,,,
2023.04.01 03:55,6056.1,6056.75,6035.06,6048.52,0,299
,,,,,,
2023.04.01 03:50,6045.4,6061.84,6043.69,6056.9,0,299
,,,,,,
2023.04.01 03:45,6032.98,6051.6,6025.24,6044.99,0,300
,,,,,,
2023.04.01 03:40,6048.58,6048.71,6031.81,6033.73,0,298
,,,,,,
2023.04.01 03:35,6056.66,6057.62,6032.74,6048.68,0,299
,,,,,,
2023.04.01 03:30,6066.5,6071.7,6053.92,6056.48,0,299
,,,,,,
2023.04.01 03:25,6066.87,6082.44,6065.83,6067.04,0,299
,,,,,,
2023.04.01 03:20,6065.56,6073.2,6055.16,6066.98,0,299
,,,,,,
2023.04.01 03:15,6059.29,6069.25,6049.36,6065.88,0,300
,,,,,,
2023.04.01 03:10,6055.56,6068.95,6049.09,6057.65,0,299
,,,,,,
2023.04.01 03:05,6039.8,6058.48,6035.42,6056.07,0,297
,,,,,,
2023.04.01 03:00,6044.46,6062.8,6039.91,6040.1,0,300
,,,,,,
2023.04.01 02:55,6056.91,6062.34,6033.39,6042.7,0,300
,,,,,,
2023.04.01 02:50,6050.52,6061.65,6041.44,6057.89,0,298
,,,,,,
2023.04.01 02:45,6041.98,6055.43,6037.6,6051.19,0,300
,,,,,,
2023.04.01 02:40,6046.09,6056.79,6037.32,6042.16,0,297
,,,,,,
2023.04.01 02:35,6062.33,6067.13,6042.42,6045.01,0,299
,,,,,,
2023.04.01 02:30,6087.73,6087.87,6062.66,6062.66,0,299
,,,,,,
2023.04.01 02:25,6103.9,6112.82,6087.43,6089.04,0,299
,,,,,,
2023.04.01 02:20,6103.95,6108.12,6095.47,6103.38,0,298
,,,,,,
2023.04.01 02:15,6093.37,6113.74,6086.16,6103.54,0,297
,,,,,,
2023.04.01 02:10,6092.71,6100.04,6086.19,6092.87,0,298
,,,,,,
2023.04.01 02:05,6072.73,6093.3,6070.73,6092.54,0,300
,,,,,,
2023.04.01 02:00,6081.29,6088.23,6066.2,6072.04,0,299
,,,,,,
2023.04.01 01:55,6112.27,6112.27,6082.15,6083.75,0,299
,,,,,,
2023.04.01 01:50,6105.28,6117.75,6092.65,6112.13,0,298
,,,,,,
2023.04.01 01:45,6099.9,6117.28,6099.69,6105.84,0,299
,,,,,,
2023.04.01 01:40,6086.07,6100.96,6082.67,6098.29,0,299
,,,,,,
2023.04.01 01:35,6060.19,6086.97,6057.05,6085.81,0,298
,,,,,,
2023.04.01 01:30,6037.05,6064.57,6030.52,6061.88,0,299
,,,,,,
2023.04.01 01:25,6051.04,6061.33,6035.9,6035.9,0,299
,,,,,,
2023.04.01 01:20,6044.18,6058.42,6042.67,6050.69,0,299
,,,,,,
2023.04.01 01:15,6069.8,6071.81,6041.93,6044.01,0,298
,,,,,,
2023.04.01 01:10,6058.71,6073.39,6055.21,6069.78,0,296
,,,,,,
2023.04.01 01:05,6035.17,6064.58,6034.96,6059.51,0,298
,,,,,,
2023.04.01 01:00,6058.9,6065.51,6033.94,6035.54,0,300
,,,,,,
2023.04.01 00:55,6057.07,6071.64,6051.95,6059.93,0,299
,,,,,,
2023.04.01 00:50,6074.13,6078.23,6048.12,6056.15,0,296
,,,,,,
2023.04.01 00:45,6046.43,6074.44,6043.8,6074.44,0,299
,,,,,,
2023.04.01 00:40,6041,6050.57,6031.71,6044.83,0,296
,,,,,,
2023.04.01 00:35,6038.99,6044.25,6027.4,6040.77,0,298
,,,,,,
2023.04.01 00:30,6029.65,6047.97,6025.34,6037.41,0,299
,,,,,,
2023.04.01 00:25,6033.31,6036.51,6020.01,6030.15,0,297
,,,,,,
2023.04.01 00:20,6025.08,6051.08,6025.06,6032.76,0,299
,,,,,,
2023.04.01 00:15,6033.34,6038.41,6015.5,6024.77,0,299
,,,,,,
2023.04.01 00:10,6025.69,6044.3,6025.69,6032.76,0,299
,,,,,,
2023.04.01 00:05,6008.46,6033.66,6004.77,6024.61,0,297
,,,,,,
2023.04.01 00:00,6031.23,6032.23,5997.21,6008.41,0,297
,,,,,,
2023.03.31 23:55,6028.46,6034.08,6020.07,6031.9,0,299
,,,,,,
2023.03.31 23:50,6018.38,6038.95,6018.38,6028.11,0,297
,,,,,,
2023.03.31 23:45,6022.6,6027.39,6009.99,6018.9,0,296
,,,,,,
2023.03.31 23:40,6008.92,6028.13,6008.41,6022.4,0,300
,,,,,,
2023.03.31 23:35,5983.92,6011.4,5975.38,6008.46,0,300
,,,,,,
2023.03.31 23:30,5985.73,5993.88,5978.95,5984.91,0,300
,,,,,,
2023.03.31 23:25,5988.5,5993.51,5979.08,5986.05,0,299
,,,,,,
2023.03.31 23:20,5974.69,6000.71,5974.69,5988.02,0,295
,,,,,,
2023.03.31 23:15,5997.34,6000.74,5974.16,5975.13,0,299
,,,,,,
2023.03.31 23:10,6013.49,6014.04,5994.7,5998.77,0,300
,,,,,,
2023.03.31 23:05,6014.11,6017.71,6004.01,6012.87,0,297
,,,,,,
2023.03.31 23:00,6027.01,6029.66,6011.31,6015.38,0,298
,,,,,,
2023.03.31 22:55,6043.24,6043.83,6026.75,6027.23,0,298
,,,,,,
2023.03.31 22:50,6049.31,6060.6,6041.84,6042.76,0,299
,,,,,,
2023.03.31 22:45,6051.54,6053.36,6037.3,6049.86,0,299
,,,,,,
2023.03.31 22:40,6046.33,6063.64,6044.26,6050.2,0,299
,,,,,,
2023.03.31 22:35,6041.44,6061.56,6039.71,6045.82,0,299
,,,,,,
2023.03.31 22:30,6037.84,6042.5,6030.77,6042.48,0,297
,,,,,,
2023.03.31 22:25,6047.86,6058.1,6037.17,6037.17,0,300
,,,,,,
2023.03.31 22:20,6052.47,6054.81,6037.81,6046.73,0,300
,,,,,,
2023.03.31 22:15,6061.37,6065.83,6049.83,6051.2,0,300
,,,,,,
2023.03.31 22:10,6067.37,6074.09,6053.01,6061.86,0,299
,,,,,,
2023.03.31 22:05,6071.01,6078.16,6059.99,6066.53,0,300
,,,,,,
2023.03.31 22:00,6058.92,6074.94,6058.77,6070.64,0,296
,,,,,,
2023.03.31 21:55,6061.09,6069.87,6056.28,6059.93,0,299
,,,,,,
2023.03.31 21:50,6064.8,6067.47,6054.48,6059.87,0,299
,,,,,,
2023.03.31 21:45,6071.65,6080.2,6062.76,6066.6,0,298
,,,,,,
2023.03.31 21:40,6066.12,6077.99,6062.79,6071.84,0,299
,,,,,,
2023.03.31 21:35,6075.7,6087.21,6065.71,6065.71,0,297
,,,,,,
2023.03.31 21:30,6087,6090.77,6066.49,6075.62,0,299
,,,,,,
2023.03.31 21:25,6102.57,6104.25,6087.52,6087.52,0,298
,,,,,,
2023.03.31 21:20,6091.21,6105.11,6082.18,6101.3,0,300
,,,,,,
